value,timestamp,identifier_columns,identifier_values,entityId,hash
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,e27d60abe3bf1cebc21801ba74f98228
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,1e03daa61e78a12d1b2988236d9debeb
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,a33ddd141f623b2cc05a416d2f0a7e14
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,3a7c482c04ea9ede15ddff70c25170f0
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,71c6d9f87dd5e2b6ad048c0321461870
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,f5f3e76e89e638abf23f47ae547228a3
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,6b530f2e9fb77b1c7545aa19dee8388b
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,10c352ac63f8ee3831b275b5b3e9ff40
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,0531dcb5ae3fd15de15f980f3eb97a54
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,ef6a1fc2f8402eab2866ac5413bd4dcf
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,3c69e1ed281ff2652961e5af63e2ab2a
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,0a8d27dfd5e6c0b30902560061dfe654
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,1af2def27e97ccbbe44644eab92b9b0f
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,ad7cd6f43d3a99b5dcd320ba667bee15
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,f39d0305e0303b9751aca1bd20772460
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,6748d5917637edfd9206d5fc2066a5ed
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,b9da9c3a5ea24059f88a448d46dc0c45
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,8cc8e596ed95e5df0e16734b57366882
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,772e67200b48aac5f3ae2d16857c1e96
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,e1e71d3199cbcb0b08395e1b5e1f80bd
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,a66130cb31a3a1dad42df29eff87915b
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,de4020a1cc794888f0a1e8afd5394b37
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,62b29426a22bb75272b4002f8da09090
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,b914dfb94e5a8e7593538be2a0ff9773
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,25,ea46c0aa8a86ec23948664973606a607
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,26,898d729d89b2eaa19f4f30ed460c90bc
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,27,86061e9289700d5bd94f5c5b90715b2e
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,28,ecd66e344c8267b223f931d11c15f781
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,29,18907df72e205bd5d6c6d96ccb268552
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,30,868e8d03deea3c2b1b35386ae7e8ee52
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,31,c26c5bfec4570ebe25389cc631a83fd4
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,32,6e1f57eb3318efe44b6b3333caa6102a
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,33,a5898022cd66292c574eddc1a5cf352a
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,34,39b1300ed763f705d67bea9425719575
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,35,10f389f2d9cce83d4588c573d1fe5926
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,36,025125b48494dd84a96624e1093e859a
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,37,9ac2c1fb8078779fd1e7fa0cb6949933
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,38,e14cc8d59b4209a91752c6544fe73a92
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,39,70aeeb6fd33e64ddfc4b1658a9861307
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,40,8a4efc5466b701653f33f25aa8a9c7f8
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,41,64789194ffdec472ce72835275adc655
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,42,89a80f48668b896e860580628854695e
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,43,6368770c851a56714a5dc792e5050fac
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,44,31f5bb32c280d7773ee1da7c2293d2f8
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,45,e6bb37ecf372a5c574af2ef7b1c161bd
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,46,712a29ded659a8cb6123c98eac05a070
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,47,0817b0ff417f36c1b74a66168394f668
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,48,8c7662a32b432c44ebbda35285d12011
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,49,2d6eb2befe09caa217221ba54d9e4b8e
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,50,3105fd9af9432b8f62f998c35b57e802
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,51,b51b20bf9afd31e66ca5f8640ac2e61e
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,52,1996c88c08bdc602b358792c4b5f84ce
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,53,6cf16add737ae687552daa68e8c0d2dc
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,54,52fdb1ae6811a7783616470a57c7140f
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,55,f604136f6c2e9277aee5b038f314c8a0
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,56,05dd90aebc7183933799abe88ad0930e
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,57,c3c521c976cdab7c92730400421f5c81
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,58,9774d7b2649d6df123408230f8ef5845
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,59,81331ba13fc4cc8aa686cccdc8dfe91a
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,60,07b951177f012e53690f2825c6e021de
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,61,ae46da10c6f3af033d07be5317f5f888
AL,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,62,2280e9286ce401f734c5ab0cadc3657c
AK,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,63,58415815414df71df9262c55b67311a5
AK,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,64,75e3da35fd0764f7033611c5c043e0d1
