value,timestamp,identifier_columns,identifier_values,entityId,hash
Montgomery,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,300cde4772d0f12a8a7d67f7bb817442
Normal,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,9cdb515216257107938fbfdbd237f943
Birmingham,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,174fa56f29a75a29dee71ddc7ea6efbe
Montgomery,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,538643789545ab656d21cc04b0d2b2a6
Huntsville,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,e7c0039705c6437b73c2e1fc4e8c190c
Montgomery,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,ce9aa4c6804fa1246e7acbfdef6ffd67
Tuscaloosa,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,f1ea89b2a2ead7f69d4367512092be3c
Tuscaloosa,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,81a02279feaa9e64a8b3f4903ad9e95c
Alexander City,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,41a159e0e2361043c9775e95f4efd75b
Athens,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,95c20fe42cc7daaababf777783922179
Montgomery,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,d9d29a48a0ecf576613cbf9f245a31c4
Auburn University,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,b8ff0b8f422a2dbd5b3ca994311b7791
Birmingham,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,89248c993d0c04ae3e4c9e481f732e06
Phenix City,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,81499116e866c9f2f43df1503aa3ab4c
Selma,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,ee2b1c609e7302352a346b9a5e833b57
Montgomery,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,bf2eda6d1cfab534a3a7334de9e2a3af
Enterprise,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,0c4db5086309e7bfbb9e0f1eb99bf0b9
Bay Minette,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,eaba6c6749ca49d1d67142aec8552da2
Montgomery,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,8124d912381f2c758a1631b3eb60908e
Gadsden,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,9a932406761af3b8a98c9f3d3ed6ae96
Dothan,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,f0bcf1bc66f4a7470d08df4e62a51a94
Hanceville,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,25e4cdfb43ddcf9fe9a4bb5ca7da4539
Selma,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,dab05fc5a28902cc832e1cba56a6224f
Birmingham,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,0f746e17b2745ab4c52acc3525ae9a6f
