value,timestamp,identifier_columns,identifier_values,entityId,hash
Montgomery County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,42823eeafcec379f694fbe8b9447a6eb
Madison County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,c9d3a8a71bed1c822d8e3fba9bcd6a85
Jefferson County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,bbf02a0a051872db5b18c5657686e5c7
Montgomery County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,32b12a5f5c8b9a84fe5474aac5deefa5
Madison County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,79408de6af914c0ecb39275ab2f2153b
Montgomery County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,8ae9b65138d7a782f38a05e362fdefa2
Tuscaloosa County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,3730f6d16271c2ff245f2ee5660fd338
Tuscaloosa County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,da35edbb2615e3b62e64a60611660834
Tallapoosa County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,25d811bb4fd7cd4e49677b389ab9bf5d
Limestone County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,5b20e80a3313b9873044e4458fc1cfcf
Montgomery County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,b8020dca87eb4931e1560bc0c7349689
Lee County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,deea22b5f79ddb18a04bfd18ae9ea720
Jefferson County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,f2dfadace2dcdb2424fd51f7e80dd253
Russell County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,17c2fb239a42e2d02b588f0989792b1c
Dallas County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,b07caece1cc4522b34c86b078c933afd
Montgomery County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,c7ae5eaf3323c33264a0b9686fb8a2f9
Coffee County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,f2483fa0d65326b0d9d296171b7558e7
Baldwin County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,18,366d072182f333f5cbf6798c0d06f679
Montgomery County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,19,b2ad95f916fde0e8e0ca7c1ab3589f13
Etowah County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,20,48cc19687235d527e08bc0bb77ad1271
Dale County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,21,80959e226561354978453732c2b414a9
Cullman County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,22,4ef5ae7e9a7e40b3340faf15997e3c3d
Dallas County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,23,f93b6c1300e54791aeea81486fe819e8
Jefferson County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,24,54315d5cade6db93cbdc9568bc1c937b
Montgomery County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,25,31e07ba998ec9541718fbdb421ecd49b
Lauderdale County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,26,66350b19d10a8f88bd910e512ed99f69
Madison County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,27,87dbb69c916cc675aab7baa49e7da85c
Elmore County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,28,7572444e457cdef718b8ed095c5738ba
Calhoun County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,29,79083c6b9349c5b2adeae0deaabbc7b6
Escambia County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,30,9a502497c2cea55b037bbba5d2125712
Jefferson County,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,31,9114e2cfc996f136a80b86de23d614f0
