value,timestamp,identifier_columns,identifier_values,entityId,hash
40,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,1,c95cbb8063e854e6f97fd042a4a2fc52
12,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,2,c46f54285328b71ac5e56318c0e74012
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,3,34b6b18092d76ca95d0b6144300e0a7d
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,4,806a165865493192ef0c8f453500ab27
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,5,ef343d22d091de90e6cb75897045f2de
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,6,230e1af00e50d791cbfc5eb9cda111e0
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,7,124c277c2cc8d4010371080762c45735
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,8,24c48900aa430ab94d32275a8e911fca
40,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,9,852c1b0e85f5a517e4c0327d6304363e
30,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,10,64b4a10e996f415c5ebbe6b42558c493
20,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,11,6754458a4d75c62cf9bb048f7bb628f6
11,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,12,9df139446cde61a27e7a7a24978bf977
20,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,13,17b569b3f6929b8cc05665b53b5b3b71
40,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,14,fd3af0d18cecb532235e21066d9a559b
30,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,15,d5cf4e518e40e4516bc94770c4139d48
20,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,16,8aff805b810cac8631cf9db8d93942ae
40,Fri Aug 15 2014 23:15:21 GMT-0700 (PDT),,,17,059fd5e949d523e87922f064122eb8df
